Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
ZE1 0TE,Yes,60.139746,-1.272552,440505,1139692,HU405396,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1995-12-01,,"","",7,4,"","","Central Shetland - 03","Very remote rural area",,7,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",214.339,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQG+VX,
ZE1 0TF,Yes,60.139816,-1.272181,440526,1139700,HU405396,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1996-06-01,,"","",0,0,"","","Central Shetland - 03","Very remote rural area",,7,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",214.357,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQH+W4,
ZE1 0TG,No,60.149775,-1.155751,446978,1140886,HU469408,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1998-12-01,2019-06-01,"","",,,"","","Lerwick North - 01","Very remote small town",,0,,S01012395,,S02002324,"Lerwick North",,S00129045,S14000051,5395,1,1,2020-02-19,"Thurso",219.207,ZE,ZE1,"Scotland","Scottish Water",9CGW4RXV+WM,
ZE1 0TH,Yes,60.136523,-1.274333,440410,1139332,HU404393,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1996-06-01,,"","",2,1,"","","Central Shetland - 03","Very remote rural area",,2,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",213.995,ZE,ZE1,"Scotland","Scottish Water",9CGW4PPG+J7,
ZE1 0TJ,Yes,60.137628,-1.280844,440047,1139451,HU400394,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1998-12-01,,"","",11,4,"","","Central Shetland - 03","Very remote rural area",,5,,S01012404,,S02002325,"Central Shetland",,S00129026,S14000051,4524,1,0,2020-02-19,"Thurso",213.873,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQ9+3M,
ZE1 0TL,Yes,60.139328,-1.274884,440376,1139644,HU403396,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",3,1,"","","Central Shetland - 03","Very remote rural area",,9,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",214.223,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQG+P2,
ZE1 0TN,Yes,60.139886,-1.273413,440457,1139707,HU404397,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",11,4,"","","Central Shetland - 03","Very remote rural area",,9,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",214.322,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQG+XJ,
ZE1 0TP,Yes,60.137516,-1.273483,440456,1139443,HU404394,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",41,22,"","","Central Shetland - 03","Very remote rural area",,2,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",214.111,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQG+2J,
ZE1 0TQ,Yes,60.135797,-1.274475,440403,1139251,HU404392,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",31,17,"","","Central Shetland - 03","Very remote rural area",,2,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",213.926,ZE,ZE1,"Scotland","Scottish Water",9CGW4PPG+86,
ZE1 0TR,Yes,60.137613,-1.276506,440288,1139452,HU402394,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",62,39,"","","Central Shetland - 03","Very remote rural area",,2,,S01012404,,S02002325,"Central Shetland",,S00129026,S14000051,4524,1,0,2020-02-19,"Thurso",214.017,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQF+29,
ZE1 0TS,Yes,60.137746,-1.274523,440398,1139468,HU403394,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",23,12,"","","Central Shetland - 03","Very remote rural area",,3,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",214.096,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQG+35,
ZE1 0TT,Yes,60.139664,-1.277163,440249,1139680,HU402396,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",39,15,"","","Central Shetland - 03","Very remote rural area",,15,,S01012404,,S02002325,"Central Shetland",,S00129082,S14000051,4524,1,0,2020-02-19,"Thurso",214.176,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQF+V4,
ZE1 0TU,Yes,60.137882,-1.278138,440197,1139481,HU401394,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1998-12-01,,"","",6,3,"","","Central Shetland - 03","Very remote rural area",,2,,S01012404,,S02002325,"Central Shetland",,S00129026,S14000051,4524,1,0,2020-02-19,"Thurso",213.986,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQC+5P,
ZE1 0TW,Yes,60.165928,-1.167031,446329,1142677,HU463426,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1999-06-01,,"","",0,0,"","","Lerwick North - 07","Very remote small town",,14,,S01012401,,S02002324,"Lerwick North",,S00129140,S14000051,2548,1,0,2020-02-19,"Thurso",220.222,ZE,ZE1,"Scotland","Scottish Water",9CGW5R8M+95,
ZE1 0TX,Yes,60.138906,-1.27654,440285,1139596,HU402395,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",31,10,"","","Central Shetland - 03","Very remote rural area",,9,,S01012404,,S02002325,"Central Shetland",,S00129031,S14000051,4524,1,0,2020-02-19,"Thurso",214.13,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQF+H9,
