Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
DD4 7HW,Yes,56.472784,-2.941801,342079,731581,NO420315,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",40,20,"","","Baxter Park - 02","Large urban area",,64,,S01007734,,S02001453,"Baxter Park",,S00099052,S14000015,5247,1,0,2020-02-19,"Dundee",2.55673,DD,DD4,"Scotland","Scottish Water",9C8VF3F5+47,
DD4 7HX,Yes,56.474428,-2.940624,342154,731763,NO421317,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",1,1,"","","Baxter Park - 03","Large urban area",,69,,S01007735,,S02001453,"Baxter Park",,S00099045,S14000015,5101,1,0,2020-02-19,"Dundee",2.7382,DD,DD4,"Scotland","Scottish Water",9C8VF3F5+QQ,
DD4 7HY,Yes,56.474461,-2.942199,342057,731768,NO420317,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",25,13,"","","Baxter Park - 02","Large urban area",,73,,S01007734,,S02001453,"Baxter Park",,S00099664,S14000015,5247,1,0,2020-02-19,"Dundee",2.67557,DD,DD4,"Scotland","Scottish Water",9C8VF3F5+Q4,
DD4 7HZ,Yes,56.474879,-2.941625,342093,731814,NO420318,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",13,4,"","","Baxter Park - 02","Large urban area",,70,,S01007734,,S02001453,"Baxter Park",,S00099664,S14000015,5247,1,0,2020-02-19,"Dundee",2.73369,DD,DD4,"Scotland","Scottish Water",9C8VF3F5+X9,
DD4 7JA,Yes,56.476291,-2.942602,342035,731972,NO420319,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",28,11,"","","Baxter Park - 03","Large urban area",,72,,S01007735,,S02001453,"Baxter Park",,S00099045,S14000015,5101,1,0,2020-02-19,"Dundee",2.81507,DD,DD4,"Scotland","Scottish Water",9C8VF3G4+GX,
DD4 7JB,Yes,56.476806,-2.942196,342061,732029,NO420320,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",6,2,"","","Baxter Park - 03","Large urban area",,72,,S01007735,,S02001453,"Baxter Park",,S00099045,S14000015,5101,1,0,2020-02-19,"Dundee",2.87538,DD,DD4,"Scotland","Scottish Water",9C8VF3G5+P4,
DD4 7JD,Yes,56.47805,-2.942889,342020,732169,NO420321,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",19,8,"","","Baxter Park - 03","Large urban area",,76,,S01007735,,S02001453,"Baxter Park",,S00099045,S14000015,5101,1,0,2020-02-19,"Dundee",2.95995,DD,DD4,"Scotland","Scottish Water",9C8VF3H4+6R,
DD4 7JE,Yes,56.468213,-2.936867,342376,731069,NO423310,"","Dundee City","East End",S12000042,S13002551,Scotland,S99999999,"Dundee East",2000-06-01,,"","",72,37,"","","Craigie and  Craigiebank - 01","Large urban area",,22,,S01007737,,S02001454,"Craigie and  Craigiebank",,S00099033,S14000015,3771,1,0,2020-02-19,"Dundee",2.47815,DD,DD4,"Scotland","Scottish Water",9C8VF397+77,
DD4 7JF,Yes,56.478063,-2.943522,341981,732170,NO419321,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",17,8,"","","Baxter Park - 03","Large urban area",,77,,S01007735,,S02001453,"Baxter Park",,S00099045,S14000015,5101,1,0,2020-02-19,"Dundee",2.93848,DD,DD4,"Scotland","Scottish Water",9C8VF3H4+6H,
DD4 7JG,Yes,56.469355,-2.936635,342392,731195,NO423311,"","Dundee City","East End",S12000042,S13002551,Scotland,S99999999,"Dundee East",1980-01-01,,"","",64,32,"","","Craigie and  Craigiebank - 02","Large urban area",,36,,S01007738,,S02001454,"Craigie and  Craigiebank",,S00099051,S14000015,4136,1,0,2020-02-19,"Dundee",2.55892,DD,DD4,"Scotland","Scottish Water",9C8VF397+P8,
DD4 7JH,Yes,56.471828,-2.948254,341680,731481,NO416314,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",18,8,"","","Baxter Park - 02","Large urban area",,64,,S01007734,,S02001453,"Baxter Park",,S00099034,S14000015,5247,1,0,2020-02-19,"Dundee",2.21141,DD,DD4,"Scotland","Scottish Water",9C8VF3C2+PM,
DD4 7JJ,Yes,56.470746,-2.947545,341722,731359,NO417313,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",43,16,"","","Baxter Park - 02","Large urban area",,59,,S01007734,,S02001453,"Baxter Park",,S00099501,S14000015,5247,1,0,2020-02-19,"Dundee",2.14931,DD,DD4,"Scotland","Scottish Water",9C8VF3C2+7X,
DD4 7JL,Yes,56.471043,-2.935654,342455,731383,NO424313,"","Dundee City","East End",S12000042,S13002551,Scotland,S99999999,"Dundee East",1980-01-01,,"","",23,10,"","","Craigie and  Craigiebank - 02","Large urban area",,44,,S01007738,,S02001454,"Craigie and  Craigiebank",,S00099051,S14000015,4136,1,0,2020-02-19,"Dundee",2.71636,DD,DD4,"Scotland","Scottish Water",9C8VF3C7+CP,
