Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
DG11 1RX,Yes,55.130057,-3.462056,306876,582718,NY068827,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",36,15,"","","Lochmaben - 04","Accessible rural area",,81,,S01007634,,S02001435,"Lochmaben",,S00097143,S14000014,3818,1,0,2020-02-19,"Lockerbie",6.93868,DG,DG11,"Scotland","Scottish Water",9C7R4GJQ+25,
DG11 1RY,Yes,55.138409,-3.480776,305702,583673,NY057836,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",5,2,"","","Mid Nithsdale - 04","Accessible rural area",,77,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Lockerbie",8.26151,DG,DG11,"Scotland","Scottish Water",9C7R4GQ9+9M,
DG11 1RZ,Yes,55.138667,-3.49312,304916,583718,NY049837,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",7,3,"","","Mid Nithsdale - 04","Accessible rural area",,87,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Lockerbie",9.03568,DG,DG11,"Scotland","Scottish Water",9C7R4GQ4+FQ,
DG11 1SA,Yes,55.147034,-3.485759,305405,584639,NY054846,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",23,8,"","","Mid Nithsdale - 04","Accessible rural area",,64,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Lockerbie",8.81157,DG,DG11,"Scotland","Scottish Water",9C7R4GW7+RM,
DG11 1SB,Yes,55.150815,-3.517349,303401,585103,NY034851,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",21,8,"","","Mid Nithsdale - 04","Accessible rural area",,110,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Dumfries",10.3034,DG,DG11,"Scotland","Scottish Water",9C7R5F2M+83,
DG11 1SD,No,55.157296,-3.52797,302740,585839,NY027858,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,1997-06-01,"","",,,"","","Mid Nithsdale - 04","Accessible rural area",,92,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,8,1,2020-02-19,"Dumfries",10.5921,DG,DG11,"Scotland","Scottish Water",9C7R5F4C+WR,
DG11 1SE,Yes,55.158892,-3.530417,302588,586020,NY025860,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",12,4,"","","Mid Nithsdale - 04","Accessible rural area",,81,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Dumfries",10.6807,DG,DG11,"Scotland","Scottish Water",9C7R5F59+HR,
DG11 1SF,Yes,55.150742,-3.524954,302916,585106,NY029851,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",21,7,"","","Mid Nithsdale - 04","Accessible rural area",,84,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Dumfries",10.0453,DG,DG11,"Scotland","Scottish Water",9C7R5F2G+72,
DG11 1SG,Yes,55.145839,-3.538594,302035,584579,NY020845,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",8,4,"","","Mid Nithsdale - 04","Accessible rural area",,95,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Dumfries",9.15143,DG,DG11,"Scotland","Scottish Water",9C7R4FW6+8H,
DG11 1SH,Yes,55.130721,-3.524398,302903,582877,NY029828,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",15,6,"","","Mid Nithsdale - 04","Accessible rural area",,150,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Dumfries",8.22034,DG,DG11,"Scotland","Scottish Water",9C7R4FJG+76,
