Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
PH26 3JP,Yes,57.328325,-3.606533,303369,827562,NJ033275,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",6,3,"","","Badenoch and Strathspey North - 05","Remote rural area",,223,,S01010546,,S02001984,"Badenoch and Strathspey North",,S00118253,S14000039,5221,1,0,2020-02-19,"Carrbridge",14.3692,PH,PH26,"Scotland","Scottish Water",9C9R89HV+89,
PH26 3JQ,Yes,57.336176,-3.615781,302833,828449,NJ028284,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",12,4,"","","Badenoch and Strathspey North - 02","Remote rural area",,246,,S01010543,,S02001984,"Badenoch and Strathspey North",,S00117663,S14000039,4048,1,0,2020-02-19,"Carrbridge",14.2197,PH,PH26,"Scotland","Scottish Water",9C9R89PM+FM,
PH26 3JR,Yes,57.32705,-3.609318,303198,827424,NJ031274,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",144,57,"","","Badenoch and Strathspey North - 04","Remote rural area",,223,,S01010545,,S02001984,"Badenoch and Strathspey North",,S00118249,S14000039,5283,1,0,2020-02-19,"Carrbridge",14.1612,PH,PH26,"Scotland","Scottish Water",9C9R89GR+R7,
PH26 3JS,Yes,57.325559,-3.612492,303003,827262,NJ030272,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",15,8,"","","Badenoch and Strathspey North - 04","Remote rural area",,215,,S01010545,,S02001984,"Badenoch and Strathspey North",,S00118250,S14000039,5283,1,0,2020-02-19,"Carrbridge",13.9232,PH,PH26,"Scotland","Scottish Water",9C9R89GQ+62,
PH26 3JT,Yes,57.32512,-3.616143,302782,827219,NJ027272,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",2,2,"","","Badenoch and Strathspey North - 03","Remote rural area",,216,,S01010544,,S02001984,"Badenoch and Strathspey North",,S00119222,S14000039,4626,1,0,2020-02-19,"Carrbridge",13.7015,PH,PH26,"Scotland","Scottish Water",9C9R89GM+2G,
PH26 3JU,Yes,57.325298,-3.617446,302704,827240,NJ027272,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",29,5,"","","Badenoch and Strathspey North - 03","Remote rural area",,220,,S01010544,,S02001984,"Badenoch and Strathspey North",,S00119222,S14000039,4626,1,0,2020-02-19,"Carrbridge",13.6362,PH,PH26,"Scotland","Scottish Water",9C9R89GM+42,
PH26 3JW,Yes,57.328657,-3.608009,303281,827601,NJ032276,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",7,2,"","","Badenoch and Strathspey North - 05","Remote rural area",,222,,S01010546,,S02001984,"Badenoch and Strathspey North",,S00118253,S14000039,5221,1,0,2020-02-19,"Carrbridge",14.3011,PH,PH26,"Scotland","Scottish Water",9C9R89HR+FQ,
PH26 3JX,Yes,57.326215,-3.615543,302821,827340,NJ028273,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",,,"","","Badenoch and Strathspey North - 03","Remote rural area",,215,,S01010544,,S02001984,"Badenoch and Strathspey North",,S00119222,S14000039,4626,1,1,2020-02-19,"Carrbridge",13.7802,PH,PH26,"Scotland","Scottish Water",9C9R89GM+FQ,
PH26 3JY,No,57.323539,-3.620757,302500,827049,NJ025270,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1973-08-01,1995-12-01,"","The Cairngorms National Park",,,"","","Badenoch and Strathspey North - 03","Remote rural area",,229,,S01010544,,S02001984,"Badenoch and Strathspey North",,S00119222,S14000039,4626,8,0,2020-02-19,"Carrbridge",13.3796,PH,PH26,"Scotland","Scottish Water",9C9R89FH+CM,
PH26 3JZ,Yes,57.32328,-3.62131,302466,827021,NJ024270,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",4,1,"","","Badenoch and Strathspey North - 03","Remote rural area",,229,,S01010544,,S02001984,"Badenoch and Strathspey North",,S00119222,S14000039,4626,1,0,2020-02-19,"Carrbridge",13.3382,PH,PH26,"Scotland","Scottish Water",9C9R89FH+8F,
PH26 3LA,Yes,57.328863,-3.614048,302918,827632,NJ029276,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",54,23,"","","Badenoch and Strathspey North - 04","Remote rural area",,215,,S01010545,,S02001984,"Badenoch and Strathspey North",,S00118247,S14000039,5283,1,0,2020-02-19,"Carrbridge",13.9758,PH,PH26,"Scotland","Scottish Water",9C9R89HP+G9,
PH26 3LB,Yes,57.328512,-3.613385,302957,827592,NJ029275,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",15,14,"","","Badenoch and Strathspey North - 04","Remote rural area",,215,,S01010545,,S02001984,"Badenoch and Strathspey North",,S00118247,S14000039,5283,1,0,2020-02-19,"Carrbridge",13.9972,PH,PH26,"Scotland","Scottish Water",9C9R89HP+CJ,
PH26 3LD,Yes,57.330379,-3.611474,303077,827797,NJ030277,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",59,25,"","","Badenoch and Strathspey North - 04","Remote rural area",,220,,S01010545,,S02001984,"Badenoch and Strathspey North",,S00119422,S14000039,5283,1,0,2020-02-19,"Carrbridge",14.184,PH,PH26,"Scotland","Scottish Water",9C9R89JQ+5C,
PH26 3LE,Yes,57.333245,-3.612131,303045,828117,NJ030281,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",46,21,"","","Badenoch and Strathspey North - 05","Remote rural area",,221,,S01010546,,S02001984,"Badenoch and Strathspey North",,S00118258,S14000039,5221,1,0,2020-02-19,"Carrbridge",14.2777,PH,PH26,"Scotland","Scottish Water",9C9R89MQ+74,
PH26 3LF,Yes,57.331062,-3.613497,302957,827876,NJ029278,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",54,40,"","","Badenoch and Strathspey North - 04","Remote rural area",,219,,S01010545,,S02001984,"Badenoch and Strathspey North",,S00119224,S14000039,5283,1,0,2020-02-19,"Carrbridge",14.1033,PH,PH26,"Scotland","Scottish Water",9C9R89JP+CJ,
PH26 3LG,Yes,57.344124,-3.577013,305187,829279,NJ051292,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",10,4,"","","Badenoch and Strathspey North - 06","Remote rural area",,208,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00119172,S14000039,4794,1,0,2020-02-19,"Carrbridge",16.6972,PH,PH26,"Scotland","Scottish Water",9C9R8CVF+J5,
PH26 3LH,Yes,57.336671,-3.542403,307251,828401,NJ072284,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",35,13,"","","Badenoch and Strathspey North - 06","Remote rural area",,193,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117667,S14000039,4794,1,0,2020-02-19,"Carrbridge",18.2916,PH,PH26,"Scotland","Scottish Water",9C9R8FP5+M2,
PH26 3LJ,Yes,57.336133,-3.539357,307433,828337,NJ074283,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",6,4,"","","Badenoch and Strathspey North - 06","Remote rural area",,196,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117667,S14000039,4794,1,0,2020-02-19,"Carrbridge",18.4428,PH,PH26,"Scotland","Scottish Water",9C9R8FP6+F7,
PH26 3LL,Yes,57.336654,-3.539345,307435,828395,NJ074283,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",30,9,"","","Badenoch and Strathspey North - 06","Remote rural area",,194,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117667,S14000039,4794,1,0,2020-02-19,"Carrbridge",18.4632,PH,PH26,"Scotland","Scottish Water",9C9R8FP6+M7,
PH26 3LN,Yes,57.337646,-3.538307,307500,828504,NJ075285,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",4,3,"","","Badenoch and Strathspey North - 06","Remote rural area",,195,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117667,S14000039,4794,1,0,2020-02-19,"Carrbridge",18.5596,PH,PH26,"Scotland","Scottish Water",9C9R8FQ6+3M,
